ID,Estradas,Numero_Estradas,Descricoes,Comprimento,Data_Inicio,Hora_Inicio,Data_Fim,Hora_Fim,Categoria,Magnitude,Coordenadas,Cidade,Versao,Diferenca
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4027260561,-9.1491558098",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4027488542,-9.1491517865",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.402806497,-9.1491397166",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4028856424,-9.1491115534",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4029338939,-9.1490820491",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4029848655,-9.1490351104",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4029915365,-9.1490257227",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4030076635,-9.1490056061",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4030318216,-9.1489761018",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4030532595,-9.148939892",Lisboa,1,
d73d4feb34153b55760e462ba243fec4,"N360",1,"Encerrado/a",591.8568805851,2021-03-15,19,,,Estrada fechada,Indefinido,"39.4031243088,-9.1488513791",Lisboa,1,
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7083838886,-9.1433059119",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7083718537,-9.1433099353",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7082377687,-9.1433220052",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7081626155,-9.1433300518",Lisboa,12,1.0
6cf2f80c54513ebd4603abe1bcf65d55,"",0,"Transito parado",174.1867334799,2021-05-15,15,2021-05-15,16,Congestionamento,Elevado,"38.7077214409,-9.1433850371",Lisboa,12,1.0
